Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-05,2022-08-07,Final,750,7.5,Rs.7.5000 per share(750%)Dividend,TITAN,04/05/2022,08/07/2022
2021-04-29,2021-07-22,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,TITAN,04/29/2021,07/22/2021
2020-08-06,2020-03-08,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,TITAN,08/06/2020,03/08/2020
2019-08-05,2019-07-29,Final,500,5.0,Rs.5.0000 per share(500%)Dividend,TITAN,08/05/2019,07/29/2019
2018-10-05,2018-07-23,Final,375,3.75,Rs.3.7500 per share(375%)Dividend,TITAN,10/05/2018,07/23/2018
2017-05-15,2017-07-24,Final,260,2.6,Rs.2.6000 per share(260%)Dividend,TITAN,05/15/2017,07/24/2017
2016-09-03,2016-03-22,Interim,220,2.2,Rs.2.2000 per share(220%)Interim Dividend,TITAN,09/03/2016,03/22/2016
2015-07-05,2015-07-17,Final,230,2.3,Rs.2.3000 per share(230%)Dividend,TITAN,07/05/2015,07/17/2015
2014-06-05,2014-07-15,Final,210,2.1,Rs.2.1000 per share(210%)Dividend,TITAN,06/05/2014,07/15/2014
2013-03-05,2013-07-16,Final,210,2.1,Rs.2.1000 per share(210%)Dividend,TITAN,03/05/2013,07/16/2013
2012-04-30,2012-07-13,Final,175,1.75,,TITAN,04/30/2012,07/13/2012
2011-04-29,2011-07-22,Final,125,1.25,,TITAN,04/29/2011,07/22/2011
2010-03-05,2010-09-07,Final,150,15.0,,TITAN,03/05/2010,09/07/2010
2009-04-29,2009-10-07,Final,100,10.0,,TITAN,04/29/2009,10/07/2009
2008-04-25,2008-07-15,Final,80,8.0,AGM,TITAN,04/25/2008,07/15/2008
2007-04-23,2007-11-07,Final,50,5.0,AGM,TITAN,04/23/2007,11/07/2007
2006-05-06,2006-04-08,Final,30,3.0,AGM,TITAN,05/06/2006,04/08/2006
2005-08-06,2005-12-08,Final,20,2.0,,TITAN,08/06/2005,12/08/2005
2004-11-06,2004-08-13,Final,10,1.0,AGM,TITAN,11/06/2004,08/13/2004
2003-06-30,2003-08-27,Final,10,1.0,AGM,TITAN,06/30/2003,08/27/2003
2002-06-26,2002-08-29,Final,15,0.0,Dividend 15%,TITAN,06/26/2002,08/29/2002
2001-06-27,2001-07-30,Final,26,0.0,,TITAN,06/27/2001,07/30/2001
