Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-27,2022-05-20,Final,110,1.1,Rs.1.1000 per share(110%)Final Dividend,TRENT,04/27/2022,05/20/2022
2022-10-02,2022-02-22,Interim,60,0.6,Rs.0.6000 per share(60%)Interim Dividend,TRENT,10/02/2022,02/22/2022
2021-04-30,2021-09-07,Final,60,0.6,Rs.0.6000 per share(60%)Final Dividend,TRENT,04/30/2021,09/07/2021
2020-05-26,2020-07-24,Final,100,1.0,Rs.1.0000 per share(100%)Dividend,TRENT,05/26/2020,07/24/2020
2019-04-30,2019-07-19,Final,130,1.3,Rs.1.3000 per share(130%)Dividend,TRENT,04/30/2019,07/19/2019
2018-03-05,2018-07-27,Final,115,1.15,Rs.1.1500 per share(115%)Dividend,TRENT,03/05/2018,07/27/2018
2017-01-06,2017-07-19,Final,100,1.0,Rs.1.0000 per share(100%)Dividend,TRENT,01/06/2017,07/19/2017
2016-09-03,2016-03-17,Interim,90,9.0,Rs.9.0000 per share(90%)Interim Dividend,TRENT,09/03/2016,03/17/2016
2015-05-26,2015-07-27,Special,25,0.0,Rs.2.5000 per share(25%)Special Dividend,TRENT,05/26/2015,07/27/2015
2015-05-27,2015-07-27,Final,75,0.0,Rs.7.5000 per share(75%)Dividend,TRENT,05/27/2015,07/27/2015
2014-05-28,2014-04-08,Final,70,0.0,Rs.7.0000 per share(70%)Dividend,TRENT,05/28/2014,04/08/2014
2013-05-29,2013-07-15,Final,70,0.0,Rs.7.0000 per share(70%)Dividend,TRENT,05/29/2013,07/15/2013
2012-05-28,2012-07-23,Final,65,0.0,Rs.6.50 per share(65%)Dividend,TRENT,05/28/2012,07/23/2012
2011-05-25,2011-07-18,Final,75,0.0,,TRENT,05/25/2011,07/18/2011
2010-05-31,2010-09-08,Final,65,0.0,,TRENT,05/31/2010,09/08/2010
2009-06-18,2009-07-31,Final,55,0.0,,TRENT,06/18/2009,07/31/2009
2008-01-07,2008-07-16,Final,70,0.0,,TRENT,01/07/2008,07/16/2008
2007-04-30,2007-08-05,Interim,70,0.0,Right Issue of Equity Shares,TRENT,04/30/2007,08/05/2007
2006-06-30,2006-04-08,Final,65,0.0,AGM,TRENT,06/30/2006,04/08/2006
2005-04-21,2005-04-29,Interim,60,0.0,Right Issue of PCD with Warrants,TRENT,04/21/2005,04/29/2005
2004-02-07,2004-06-08,Final,55,0.0,AGM,TRENT,02/07/2004,06/08/2004
2003-09-06,2003-07-08,Final,55,0.0,,TRENT,09/06/2003,07/08/2003
2002-06-20,2002-08-13,Final,0,0.0,AGM & Nil Final Dividend,TRENT,06/20/2002,08/13/2002
2002-03-30,2002-05-28,Interim,50,0.0,,TRENT,03/30/2002,05/28/2002
2002-04-30,2002-05-28,Interim,50,0.0,,TRENT,04/30/2002,05/28/2002
2001-06-29,2001-07-18,Final,60,0.0,AGM,TRENT,06/29/2001,07/18/2001
