Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-12-10,2021-10-28,Interim,36,0.36,Rs.0.3600 per share(36%)Interim Dividend,TRIDENT,12/10/2021,10/28/2021
2021-05-17,2021-05-25,Final,36,0.36,Rs.0.3600 per share(36%)Final Dividend,TRIDENT,05/17/2021,05/25/2021
2020-12-02,2020-02-27,Interim,18,0.18,Rs.0.1800 per share(18%)Third Interim Dividend,TRIDENT,12/02/2020,02/27/2020
2019-10-24,2019-07-11,Interim,9,0.9,Rs.0.9000 per share(9%)Second Interim Dividend,TRIDENT,10/24/2019,07/11/2019
2019-07-15,2019-08-08,Interim,9,0.9,Rs.0.9000 per share(9%)First Interim Dividend,TRIDENT,07/15/2019,08/08/2019
2019-05-13,2019-05-29,Final,6,0.6,Rs.0.6000 per share(6%)Final Dividend,TRIDENT,05/13/2019,05/29/2019
2019-07-01,2019-01-24,Interim,12,1.2,Rs.1.2000 per share(12%)Third Interim Dividend,TRIDENT,07/01/2019,01/24/2019
2018-10-10,2018-10-23,Interim,6,0.6,Rs.0.6000 per share(6%)Second Interim Dividend,TRIDENT,10/10/2018,10/23/2018
2018-10-07,2018-08-14,Interim,6,0.6,Rs.0.6000 per share(6%)First Interim Dividend,TRIDENT,10/07/2018,08/14/2018
2018-07-05,2018-05-24,Final,3,0.3,Rs.0.3000 per share(3%)Final Dividend,TRIDENT,07/05/2018,05/24/2018
2018-01-18,2018-05-02,Interim,6,0.6,Rs.0.6000 per share(6%)Second Interim Dividend,TRIDENT,01/18/2018,05/02/2018
2017-08-16,2017-08-23,Interim,6,0.6,Rs.0.6000 per share(6%)Interim Dividend.,TRIDENT,08/16/2017,08/23/2017
2017-09-05,2017-05-25,Final,3,0.3,Rs.0.3000 per share(3%)Final Dividend.,TRIDENT,09/05/2017,05/25/2017
2017-03-01,2017-01-25,Interim,6,0.6,Rs.0.6000 per share(6%)Second Interim Dividend,TRIDENT,03/01/2017,01/25/2017
2016-08-08,2016-08-18,Interim,6,0.6,Rs.0.6000 per share(6%)Interim Dividend,TRIDENT,08/08/2016,08/18/2016
2016-05-13,2016-05-26,Final,3,0.3,Rs.0.3000 per share(3%)Final Dividend,TRIDENT,05/13/2016,05/26/2016
2015-10-20,2015-02-11,Interim,3,0.0,Rs.0.3000 per share(3%)Second Interim Dividend,TRIDENT,10/20/2015,02/11/2015
2015-07-15,2015-07-30,Interim,3,0.0,Rs.0.3000 per share(3%)First Interim Dividend,TRIDENT,07/15/2015,07/30/2015
2015-06-02,2015-02-18,Interim,3,0.0,Re.0.3000 per share (3%) Second Interim Dividend,TRIDENT,06/02/2015,02/18/2015
2014-05-15,2014-09-19,Final,3,0.0,Rs.0.3000 per share(3%)Dividend (BC Dates revised from 13/09/2014 to 24/09/2014),TRIDENT,05/15/2014,09/19/2014
2014-06-08,2014-08-13,Interim,3,0.0,Rs.0.3000 per share(3%)Interim Dividend,TRIDENT,06/08/2014,08/13/2014
2011-05-17,2011-09-22,Final,12,0.0,,TRIDENT,05/17/2011,09/22/2011
2006-05-25,2006-09-14,Final,10,0.0,AGM,TRIDENT,05/25/2006,09/14/2006
