Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-12-05,2021-11-08,Final,500,5.0,Rs.5.0000 per share(500%)Dividend,VOLTAS,12/05/2021,11/08/2021
2020-05-29,2020-05-08,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,VOLTAS,05/29/2020,05/08/2020
2019-09-05,2019-07-17,Final,400,4.0,Rs.4.0000 per share(400%)Final Dividend,VOLTAS,09/05/2019,07/17/2019
2018-05-17,2018-03-08,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,VOLTAS,05/17/2018,03/08/2018
2017-05-24,2017-04-08,Final,350,3.5,Rs.3.5000 per share(350%)Dividend,VOLTAS,05/24/2017,04/08/2017
2016-05-17,2016-05-08,Final,260,2.6,Rs.2.6000 per share(260%)Dividend,VOLTAS,05/17/2016,05/08/2016
2015-05-21,2015-10-07,Final,225,0.0,Rs.2.2500 per share(225%)Dividend,VOLTAS,05/21/2015,10/07/2015
2014-05-29,2014-08-08,Final,160,0.0,Rs.1.6000 per share(160%)Dividend,VOLTAS,05/29/2014,08/08/2014
2014-05-30,2014-08-08,Special,25,0.0,Rs.0.2500 per share Special Diamond Jubilee Dividend,VOLTAS,05/30/2014,08/08/2014
2013-05-21,2013-02-08,Final,160,0.0,Rs.1.6000 per share(160%)Dividend,VOLTAS,05/21/2013,02/08/2013
2012-05-24,2012-01-08,Final,160,0.0,,VOLTAS,05/24/2012,01/08/2012
2011-05-19,2011-07-22,Final,200,0.0,,VOLTAS,05/19/2011,07/22/2011
2010-05-31,2010-07-16,Final,200,0.0,,VOLTAS,05/31/2010,07/16/2010
2009-05-29,2009-10-07,Final,160,0.0,,VOLTAS,05/29/2009,10/07/2009
2008-05-21,2008-06-27,Final,135,0.0,AGM,VOLTAS,05/21/2008,06/27/2008
2007-05-14,2007-06-07,Final,100,0.0,AGM,VOLTAS,05/14/2007,06/07/2007
2006-11-05,2006-07-07,Final,60,0.0,,VOLTAS,11/05/2006,07/07/2006
2005-06-21,2005-07-29,Final,50,0.0,AGM,VOLTAS,06/21/2005,07/29/2005
2004-10-06,2004-07-27,Final,30,0.0,AGM,VOLTAS,10/06/2004,07/27/2004
2003-06-30,2003-07-18,Final,25,0.0,AGM,VOLTAS,06/30/2003,07/18/2003
2002-05-29,2002-11-07,Final,18,0.0,AGM,VOLTAS,05/29/2002,11/07/2002
2001-04-06,2001-06-28,Final,12,0.0,AGM,VOLTAS,04/06/2001,06/28/2001
