Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-12-01,2022-01-21,Interim,50,1.0,Rs.1.0000 per share(50%)Interim Dividend,WIPRO,12/01/2022,01/21/2022
2021-01-13,2021-01-22,Interim,50,1.0,Rs.1.0000 per share(50%)Interim Dividend,WIPRO,01/13/2021,01/22/2021
2020-01-14,2020-01-24,Interim,50,1.0,Rs.1.0000 per share(50%)Interim Dividend,WIPRO,01/14/2020,01/24/2020
2019-01-18,2019-01-29,Interim,50,1.0,Rs.1.0000 per share(50%)Interim Dividend,WIPRO,01/18/2019,01/29/2019
2018-11-01,2018-01-31,Interim,50,1.0,Rs.1.0000 per share(50%)Interim Dividend,WIPRO,11/01/2018,01/31/2018
2017-10-01,2017-02-02,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,WIPRO,10/01/2017,02/02/2017
2016-04-20,2016-11-07,Final,50,1.0,Rs.1.0000 per share(50%)Final Dividend,WIPRO,04/20/2016,11/07/2016
2016-06-01,2016-01-25,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,WIPRO,06/01/2016,01/25/2016
2015-04-21,2015-07-20,Final,350,7.0,Rs.7.0000 per share(350%)Final Dividend,WIPRO,04/21/2015,07/20/2015
2015-07-01,2015-01-22,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,WIPRO,07/01/2015,01/22/2015
2014-04-17,2014-07-21,Final,250,5.0,Rs.5.0000 per share(250%)Final Dividend (B C Dates has been revised from 01/07/2014 to 23/07/2014),WIPRO,04/17/2014,07/21/2014
2014-01-13,2014-01-22,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,WIPRO,01/13/2014,01/22/2014
2013-04-19,2013-06-27,Final,250,5.0,Rs.5.0000 per share(250%)Final Dividend,WIPRO,04/19/2013,06/27/2013
2013-01-15,2013-01-23,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,WIPRO,01/15/2013,01/23/2013
2012-04-25,2012-06-28,Final,200,4.0,,WIPRO,04/25/2012,06/28/2012
2012-10-01,2012-01-24,Interim,100,2.0,,WIPRO,10/01/2012,01/24/2012
2011-04-27,2011-06-29,Final,200,4.0,,WIPRO,04/27/2011,06/29/2011
2011-01-17,2011-01-27,Interim,100,2.0,,WIPRO,01/17/2011,01/27/2011
2010-04-23,2010-06-15,Final,300,6.0,(Revised from BC 01/07/2010 to 22/07/2010),WIPRO,04/23/2010,06/15/2010
2009-04-22,2009-06-29,Final,200,4.0,,WIPRO,04/22/2009,06/29/2009
2008-04-21,2008-06-27,Final,200,4.0,AGM,WIPRO,04/21/2008,06/27/2008
2007-10-10,2007-10-25,Interim,100,2.0,,WIPRO,10/10/2007,10/25/2007
2007-04-20,2007-06-28,Final,50,1.0,AGM,WIPRO,04/20/2007,06/28/2007
2007-03-14,2007-03-26,Interim,250,5.0,,WIPRO,03/14/2007,03/26/2007
2006-04-19,2006-06-29,Final,250,5.0,AGM,WIPRO,04/19/2006,06/29/2006
2005-04-22,2005-06-29,Final,250,5.0,AGM,WIPRO,04/22/2005,06/29/2005
2004-04-16,2004-06-05,Final,1450,29.0,The Board has also proposed a Final Dividend of Rs 4 per share and an one time dividend of Rs 25 per share.,WIPRO,04/16/2004,06/05/2004
2003-04-17,2003-01-07,Final,50,1.0,AGM,WIPRO,04/17/2003,01/07/2003
2002-04-19,2002-06-28,Final,50,1.0,AGM,WIPRO,04/19/2002,06/28/2002
2001-04-20,2001-06-18,Final,25,0.5,,WIPRO,04/20/2001,06/18/2001
2000-04-26,2000-08-05,Interim,15,0.3,,WIPRO,04/26/2000,08/05/2000
1999-05-25,1999-05-07,Final,15,1.5,,WIPRO,05/25/1999,05/07/1999
1998-05-26,1998-01-06,Final,15,1.5,,WIPRO,05/26/1998,01/06/1998
1997-05-08,1997-08-25,Final,25,2.5,dummy BC dates,WIPRO,05/08/1997,08/25/1997
1996-07-19,1996-08-23,Final,25,2.5,dummy bc dates,WIPRO,07/19/1996,08/23/1996
1995-07-18,1995-08-28,Final,25,2.5,dummy bc dates,WIPRO,07/18/1995,08/28/1995
1994-07-07,1994-08-15,Final,25,2.5,dummy bc dates,WIPRO,07/07/1994,08/15/1994
1993-10-07,1993-02-09,Final,25,2.5,dummy BC dates,WIPRO,10/07/1993,02/09/1993
1992-02-07,1992-08-21,Final,25,2.5,dummy BC dates,WIPRO,02/07/1992,08/21/1992
