Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,49.36,48.97,48.29,48.25,47.75,47.45,47.55,47.34,46.82,44.9,44.21,44.21,AARTIIND
FIIs +,7.43,7.75,7.67,7.49,8.28,7.37,7.52,9.0,8.66,11.9,11.86,12.27,AARTIIND
DIIs +,15.91,15.92,16.42,16.65,16.56,16.22,15.78,14.61,15.64,13.62,14.75,14.54,AARTIIND
Public +,27.3,27.36,27.63,27.62,27.41,28.96,29.15,29.06,28.87,29.57,29.18,28.98,AARTIIND
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,74.19,74.19,74.19,74.19,74.19,74.19,74.14,74.13,74.13,74.09,72.03,72.03,ALKYLAMINE
FIIs +,0.59,0.52,0.38,0.43,0.67,0.41,0.38,0.95,0.9,1.03,2.29,2.22,ALKYLAMINE
DIIs +,0.11,0.37,0.7,1.1,1.73,2.21,1.84,1.78,1.53,1.11,1.13,1.27,ALKYLAMINE
Government +,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,ALKYLAMINE
Public +,25.1,24.92,24.72,24.28,23.4,23.18,23.63,23.13,22.98,23.77,24.55,24.48,ALKYLAMINE
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,34.4,34.4,30.8,30.8,30.81,30.82,30.82,30.82,29.82,29.82,29.82,29.33,APOLLOHOSP
FIIs +,44.27,44.02,47.73,48.84,46.92,46.58,47.81,51.7,54.51,53.23,51.54,52.41,APOLLOHOSP
DIIs +,12.9,13.06,13.87,13.35,14.78,15.11,14.71,10.85,9.25,10.85,12.28,12.17,APOLLOHOSP
Government +,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,APOLLOHOSP
